"Organisation Name",Website,ASN,"Peering Policy","IPv4 Address","IPv6 Address","MAC Address",Location,"Switch Port and VLAN","Port Type","Service Speed","Service Type","Peering LAN","Membership Type","Route Servers"
"Mythic Beasts",http://www.mythic-beasts.com,44684,"No data",195.66.236.72,2001:7f8:4:1::ae8c:1,3cfd.fec4.71ad,"Equinix LD8 Harbour Exchange (TCH)","edge2-tch-lon2 xe14",10G,10G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Mythic Beasts",http://www.mythic-beasts.com,44684,"No data",195.66.224.72,2001:7f8:4::ae8c:1,3cfd.fea0.a7b0,"Digital Realty Sovereign House (RBS)","edge1-rbs xe-8/3/2",10G,10G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
Naitways,http://www.naitways.com/,57119,"No data",195.66.224.9,2001:7f8:4::df1f:1,a8d0.e55c.dc00,"Telehouse North (THN)","core4-thn et-2/2/0 VLAN: 1856",ConneXions,100M,ConneXions,lon1,full,"rs1.lon1, rs3.lon1"
Nask,https://www.nask.pl/,15606,"No data",195.66.225.168,2001:7f8:4::3cf6:1,000a.f7de.0aea,"Telehouse North (THN)","edge1-thn ge-7/0/7",1G,1G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"Nasstar South Limited",http://www.modrus.com,39179,"No data",195.66.238.29,2001:7f8:4:1::990b:1,707d.b9c0.b2c1,"Interxion LON2 (IN2)","edge1-in2-lon2 xe23",1G,1G,Regular,lon2,full,"rs2.lon2, rs4.lon2"
"Nasstar South Limited",http://www.modrus.com,39179,"No data",195.66.238.29,2001:7f8:4:1::990b:1,707d.b9c0.b2c1,"Interxion LON2 (IN2)","edge1-in2-lon2 xe25",1G,1G,Regular,lon2,full,"rs2.lon2, rs4.lon2"
"Nasstar South Limited",http://www.modrus.com,39179,"No data",195.66.226.29,2001:7f8:4::990b:1,00a6.caef.7341,"Equinix LD8 Harbour Exchange (TCH)","edge1-tch ge-4/0/9",1G,1G,Regular,lon1,full,"rs2.lon2, rs4.lon2"
"Nasstar South Limited",http://www.modrus.com,39179,"No data",195.66.226.29,2001:7f8:4::990b:1,00a6.caef.7341,"Equinix LD8 Harbour Exchange (TCH)","edge1-tch ge-4/3/4",1G,1G,Regular,lon1,full,"rs2.lon2, rs4.lon2"
"Natilik Ltd",https://www.natilik.com,42513,"No data",195.66.225.14,2001:7f8:4::a611:1,f87a.41e7.9d87,"Telehouse North (THN)","core3-thn ae214 VLAN: 102",ConneXions,1G,ConneXions,lon1,full,
"National Research Center Kurchatov Institute (KCOD KIAE)",http://computing.kiae.ru/,59624,"No data",195.66.227.113,2001:7f8:4::e8e8:1,ec38.737c.1017,"Equinix LD8 Harbour Exchange (TCH)","core4-tch ae211 VLAN: 759",ConneXions,3G,ConneXions,lon1,full,"rs1.lon1, rs3.lon1"
"Naver Business Platform",https://www.navercorp.com/en/company/affiliateNbp.nhn,23576,"No data",195.66.226.173,,fc96.43d2.515d,"Telehouse North (THN)","core3-thn et-2/1/0 VLAN: 3512",ConneXions,10G,ConneXions,lon1,full,"rs1.lon1, rs3.lon1"
"NEAR IP, LTD",http://nearip.com,49600,"No data",195.66.224.63,2001:7f8:4::c1c0:1,147b.ac2a.5b29,"Equinix LD6 (EQ4)","edge5-eq4 xe-8/0/5",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"Neos Networks Ltd",http://www.ssetelecoms.com,61231,"No data",195.66.239.214,2001:7f8:4:1::ef2f:2,20e0.9cd8.043e,"Equinix LD4 (EQ4)","edge3-eq4-lon2 ce6/1",100G,100G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Neos Networks Ltd",http://www.ssetelecoms.com,61231,"No data",195.66.227.242,2001:7f8:4::ef2f:2,20e0.9cd8.0573,"Equinix LD8 Harbour Exchange (TCH)","core3-tch et-2/2/2",100G,100G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Net Global srl",http://www.netglobal.it,50316,"No data",195.66.225.125,2001:7f8:4::c48c:1,e48d.8c1d.6869,"Telehouse North (THN)","core4-thn et-2/2/0 VLAN: 2162",ConneXions,2.5G,ConneXions,lon1,full,"rs1.lon1, rs3.lon1"
"NetActuate Inc",http://www.vr.org/,36236,"No data",195.66.226.36,2001:7f8:4::8d8c:1,fc96.4300.b00f,"Telehouse North (THN)","edge2-thn xe-3/0/3",10G,10G,Regular,lon1,full,"rs1.lon1, rs1.man1, rs2.man1, rs3.lon1"
"NetActuate Inc",http://www.vr.org/,36236,"No data",195.66.244.129,2001:7f8:4:2::8d8c:1,d818.d311.c46d,"TeleData Delta House (TDD)","edge3-tdd-man1 xe16",10G,10G,Regular,man1,full,"rs1.lon1, rs1.man1, rs2.man1, rs3.lon1"
"Netavo Global Data Services Ltd",http://www.netavo.com,208802,"No data",195.66.227.235,2001:7f8:4::3:2fa2:1,94bf.943c.e6de,"Telehouse North (THN)","edge4-thn ge-8/1/1",1G,1G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Netavo Global Data Services Ltd",http://www.netavo.com,208802,"No data",195.66.237.200,2001:7f8:4:1:0:3:2fa2:1,8890.0967.4c32,"Telehouse North (THN)","edge3-thn-lon2 xe38",1G,1G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"NetCologne GmbH",http://www.netcologne.de/,8422,"No data",195.66.224.172,2001:7f8:4::20e6:1,84c1.c112.7fc0,"Telehouse North (THN)","core3-thn ae211 VLAN: 20",ConneXions,40G,ConneXions,lon1,full,"rs1.lon1, rs3.lon1"
"NetConnex Broadband Ltd.",http://www.ncuk.com,21396,"No data",195.66.236.240,2001:7f8:4:1::5394:1,6464.9bd2.fcd8,"Telehouse East (THE)","edge1-the-lon2 xe39",10G,10G,Regular,lon2,full,
"NetConnex Broadband Ltd.",http://www.ncuk.com,21396,"No data",195.66.224.240,2001:7f8:4::5394:1,00cc.3443.bc61,"Telehouse North (THN)","edge2-thn xe-9/3/3",10G,10G,Regular,lon1,full,
Neterra,http://www.neterra.net/,34224,"No data",195.66.225.156,2001:7f8:4::85b0:1,0015.c722.2180,"Telehouse North (THN)","core3-thn et-3/2/1 VLAN: 3014",ConneXions,4G,ConneXions,lon1,full,"rs1.lon1, rs3.lon1"
"Netflix Streaming Services International B.V.",http://www.netflix.com,2906,"No data",195.66.224.251,2001:7f8:4::b5a:3,001c.73d6.182c,"Telehouse West (THW)","core4-thw et-2/1/3",100G,100G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"Netflix Streaming Services International B.V.",http://www.netflix.com,2906,"No data",195.66.227.7,2001:7f8:4::b5a:1,2899.3a61.dc71,"Equinix LD6 (EQ4)","edge4-eq4 et-3/1/5",100G,100G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"Netflix Streaming Services International B.V.",http://www.netflix.com,2906,"No data",195.66.227.146,2001:7f8:4::b5a:2,2899.3a61.dc9a,"Equinix LD6 (EQ4)","edge4-eq4 et-4/0/5",100G,100G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"Netflix Streaming Services International B.V.",http://www.netflix.com,2906,"No data",195.66.225.16,2001:7f8:4::b5a:4,001c.73d6.1819,"Telehouse West (THW)","core4-thw et-2/2/1",100G,100G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"NetIX Communications Limited",http://www.netix.net,57463,"No data",195.66.226.48,2001:7f8:4::e077:1,0019.a976.01c0,"Telehouse North (THN)","core3-thn et-3/2/1 VLAN: 3015",ConneXions,30G,ConneXions,lon1,"ConneXions,full","rs1.lon1, rs3.lon1"
Netnod,http://www.netnod.se/,8674,"No data",195.66.225.152,2001:7f8:4::21e2:2,0002.b34c.8527,"Telehouse North (THN)","edge1-thn ge-9/1/0",1000T,1G,Regular,lon1,associate,"rs1.lon1, rs3.lon1"
Netnod,http://www.netnod.se/,8674,"No data",195.66.225.151,2001:7f8:4::21e2:1,0002.b34c.8571,"Telehouse North (THN)","edge1-thn ge-9/1/4",1000T,1G,Regular,lon1,associate,"rs1.lon1, rs3.lon1"
"Netnorth Limited",http://www.netnorth.co.uk/,25376,"No data",195.66.244.51,2001:7f8:4:2::6320:1,d8b1.9083.fa07,"Equinix MA1 Williams House (TCW)","edge7-tcw-man1 xe23",1G,1G,Regular,man1,full,"rs1.lon1, rs1.man1, rs2.lon2, rs2.man1, rs3.lon1, rs4.lon2"
"Netnorth Limited",http://www.netnorth.co.uk/,25376,"No data",195.66.226.188,2001:7f8:4::6320:1,188b.9d6f.d540,"Telehouse North (THN)","edge4-thn xe-4/0/2 VLAN: 502",ConneXions,1G,ConneXions,lon1,full,"rs1.lon1, rs1.man1, rs2.lon2, rs2.man1, rs3.lon1, rs4.lon2"
"Netnorth Limited",http://www.netnorth.co.uk/,25376,"No data",195.66.238.188,2001:7f8:4:1::6320:1,d8b1.9083.fa40,"Telehouse North (THN)","edge2-thn-lon2 xe18 VLAN: 601",ConneXions,1G,ConneXions,lon2,full,"rs1.lon1, rs1.man1, rs2.lon2, rs2.man1, rs3.lon1, rs4.lon2"
Netrouting,http://www.netrouting.com,47869,"No data",195.66.244.81,2001:7f8:4:2::bafd:1,e030.f98c.5dd6,"M247 Ball Green (M2I)","edge2-m2i-man1 xe3 VLAN: 205",ConneXions,1G,ConneXions,man1,full,"rs1.lon1, rs1.man1, rs2.man1, rs3.lon1"
Netrouting,http://www.netrouting.com,47869,"No data",195.66.226.224,2001:7f8:4::bafd:1,e030.f98c.5dd6,"Telehouse North (THN)","edge3-thn xe-5/1/0 VLAN: 204",ConneXions,1G,ConneXions,lon1,full,"rs1.lon1, rs1.man1, rs2.man1, rs3.lon1"
"Netservers Limited",http://www.netservers.net.uk/,35826,"No data",195.66.238.152,2001:7f8:4:1::8bf2:1,a036.9f6c.fef8,"Telehouse East (THE)","edge1-the-lon2 xe2",10G,10G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Netservers Limited",http://www.netservers.net.uk/,35826,"No data",195.66.226.152,2001:7f8:4::8bf2:1,90e2.ba20.b5a1,"Telehouse East (THE)","edge4-the xe-8/3/0",10G,10G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Netskope UK Ltd",https://www.netskope.com,55256,"No data",195.66.226.142,2001:7f8:4::d7d8:1,985d.8271.ccbd,"Interxion LON2 (IN2)","edge1-in2 xe-3/2/2",10G,10G,Regular,lon1,full,"rs1.jed1, rs1.lon1, rs1.man1, rs1.nva1, rs2.jed1, rs2.man1, rs2.nva1, rs3.lon1"
"Netskope UK Ltd",https://www.netskope.com,55256,"No data",185.1.126.219,2001:7f8:d1::d7d8:1,2cdd.e956.1f71,"MENA Gateway (MG1).(STJ)","edge1-stj-jed1 xe11",10G,10G,Regular,jed1,full,"rs1.jed1, rs1.lon1, rs1.man1, rs1.nva1, rs2.jed1, rs2.man1, rs2.nva1, rs3.lon1"
"Netskope UK Ltd",https://www.netskope.com,55256,"No data",195.66.226.142,2001:7f8:4::d7d8:1,985d.8271.ccbd,"Interxion LON2 (IN2)","edge1-in2 xe-3/2/1",10G,10G,Regular,lon1,full,"rs1.jed1, rs1.lon1, rs1.man1, rs1.nva1, rs2.jed1, rs2.man1, rs2.nva1, rs3.lon1"
"Netskope UK Ltd",https://www.netskope.com,55256,"No data",195.66.244.235,2001:7f8:4:2::d7d8:2,fcbd.675d.c25d,"TeleData Delta House (TDD)","edge3-tdd-man1 xe4",10G,10G,Regular,man1,full,"rs1.jed1, rs1.lon1, rs1.man1, rs1.nva1, rs2.jed1, rs2.man1, rs2.nva1, rs3.lon1"
"Netskope UK Ltd",https://www.netskope.com,55256,"No data",195.66.244.243,2001:7f8:4:2::d7d8:1,fcbd.675d.c1d9,"TeleData Delta House (TDD)","edge3-tdd-man1 xe3",10G,10G,Regular,man1,full,"rs1.jed1, rs1.lon1, rs1.man1, rs1.nva1, rs2.jed1, rs2.man1, rs2.nva1, rs3.lon1"
"Netskope UK Ltd",https://www.netskope.com,55256,"No data",206.55.197.251,2001:504:31::d7d8:1,985d.82c8.f4fd,"Quality Technology Services(QTS)","edge1-qts.nva1 xe-10/0/2",10G,10G,Regular,nva1,full,"rs1.jed1, rs1.lon1, rs1.man1, rs1.nva1, rs2.jed1, rs2.man1, rs2.nva1, rs3.lon1"
"Netwise Hosting Ltd",http://www.netwisehosting.co.uk,60800,"No data",195.66.239.84,2001:7f8:4:1::ed80:1,10f3.1150.7ea0,"Telehouse North (THN)","edge2-thn-lon2 xe3 VLAN: 500",ConneXions,2G,ConneXions,lon2,"ConneXions,full","rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Netwise Hosting Ltd",http://www.netwisehosting.co.uk,60800,"No data",195.66.227.84,2001:7f8:4::ed80:1,a80c.0d52.d156,"Telehouse North (THN)","edge4-thn xe-9/1/0 VLAN: 500",ConneXions,2G,ConneXions,lon1,"ConneXions,full","rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Network Platforms (Pty) Ltd",http://www.networkplatforms.co.za,328832,"No data",195.66.224.25,2001:7f8:4::5:480:1,4001.7a41.6980,"Equinix LD8 Harbour Exchange (TCH)","edge4-tch xe-5/2/2 VLAN: 291",ConneXions,4G,ConneXions,lon1,"ConneXions,full","rs1.lon1, rs3.lon1"
Neuronnexion,http://www.neuronnexion.coop/,9036,"No data",195.66.226.87,,748e.f8a7.3fc1,"Telehouse North (THN)","edge1-thn xe-4/2/2 VLAN: 1501",ConneXions,100M,ConneXions,lon1,full,"rs1.lon1, rs3.lon1"
"Newtel Ltd",http://www.newteljersey.com/,13208,"No data",195.66.236.202,2001:7f8:4:1::3398:1,a4be.2b12.1671,"Telehouse North (THN)","edge4-thn-lon2 xe16",1G,1G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Newtel Ltd",http://www.newteljersey.com/,13208,"No data",195.66.224.202,2001:7f8:4::3398:1,a4be.2b12.1670,"Telehouse North (THN)","edge3-thn ge-7/2/5",1G,1G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Next Connex",http://www.nextconnex.com,51048,"No data",195.66.226.100,2001:7f8:4::c768:1,6c9c.ed73.b302,"Equinix LD8 Harbour Exchange (TCH)","edge1-tch xe-8/0/2",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"Next Connex",http://www.nextconnex.com,51048,"No data",195.66.226.100,2001:7f8:4::c768:1,6c9c.ed73.b302,"Equinix LD8 Harbour Exchange (TCH)","edge1-tch xe-7/2/1",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"Nexusguard Limted",http://www.nexusguard.com/,45474,"No data",195.66.226.110,2001:7f8:4::b1a2:1,88e0.f3b8.d7c3,"Telehouse North2 (TH2)","edge1-th2 xe-1/1/1",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"Nexusguard Limted",http://www.nexusguard.com/,45474,"No data",195.66.226.110,2001:7f8:4::b1a2:1,88e0.f3b8.d7c3,"Telehouse North2 (TH2)","edge1-th2 xe-2/0/1",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"NFON AG",http://www.nfon.com,8878,"No data",195.66.227.76,2001:7f8:4::22ae:1,8071.1ff0.9fc3,"Telehouse West (THW)","core3-thw ae214 VLAN: 605",ConneXions,1G,ConneXions,lon1,full,"rs1.lon1, rs3.lon1"
"NFOrce Entertainment BV",http://www.nforce.nl,43350,"No data",195.66.226.154,2001:7f8:4::a956:2,cc4e.240c.f200,"Equinix LD8 Harbour Exchange (TCH)","edge4-tch xe-5/3/0",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"NFOrce Entertainment BV",http://www.nforce.nl,43350,"No data",195.66.226.154,2001:7f8:4::a956:2,cc4e.240c.f200,"Equinix LD8 Harbour Exchange (TCH)","edge4-tch xe-4/0/0",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"NFOrce Entertainment BV",http://www.nforce.nl,43350,"No data",195.66.226.121,2001:7f8:4::a956:1,cc4e.2418.6f00,"Equinix LD8 Harbour Exchange (TCH)","edge1-tch xe-8/0/1",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"NFOrce Entertainment BV",http://www.nforce.nl,43350,"No data",195.66.226.121,2001:7f8:4::a956:1,cc4e.2418.6f00,"Equinix LD8 Harbour Exchange (TCH)","edge1-tch xe-7/0/5",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"nic.at GmbH",https://www.nic.at/de,1921,"No data",195.66.227.115,2001:7f8:4::781:1,001b.21bc.3b84,"Telehouse North (THN)","edge1-thn ge-8/2/2",1G,1G,Regular,lon1,associate,"rs1.lon1, rs3.lon1"
"Node4 Ltd",http://www.node4.co.uk,31727,"No data",195.66.224.135,2001:7f8:4::7bef:1,2c21.31a9.adc2,"Telehouse North (THN)","edge2-thn xe-4/3/1",10G,10G,Regular,lon1,full,"rs1.lon1, rs1.man1, rs2.man1, rs3.lon1"
"Node4 Ltd",http://www.node4.co.uk,31727,"No data",195.66.224.135,2001:7f8:4::7bef:1,2c21.31a9.adc2,"Telehouse North (THN)","edge2-thn xe-3/2/3",10G,10G,Regular,lon1,full,"rs1.lon1, rs1.man1, rs2.man1, rs3.lon1"
"Node4 Ltd",http://www.node4.co.uk,31727,"No data",195.66.244.34,2001:7f8:4:2::7bef:1,2c21.31a9.b5c4,"Equinix MA1 Williams House (TCW)","edge5-tcw-man1 xe24",10G,10G,Regular,man1,full,"rs1.lon1, rs1.man1, rs2.man1, rs3.lon1"
"Node4 Ltd",http://www.node4.co.uk,31727,"No data",195.66.244.34,2001:7f8:4:2::7bef:1,2c21.31a9.b5c4,"Equinix MA1 Williams House (TCW)","edge5-tcw-man1 xe22",10G,10G,Regular,man1,full,"rs1.lon1, rs1.man1, rs2.man1, rs3.lon1"
"Node4 Ltd",http://www.node4.co.uk,31727,"No data",195.66.224.135,2001:7f8:4::7bef:1,2c21.31a9.adc2,"Telehouse North (THN)","edge2-thn xe-3/2/1",10G,10G,Regular,lon1,full,"rs1.lon1, rs1.man1, rs2.man1, rs3.lon1"
"Node4 Ltd",http://www.node4.co.uk,31727,"No data",195.66.224.135,2001:7f8:4::7bef:1,2c21.31a9.adc2,"Telehouse North (THN)","edge2-thn xe-5/1/1",10G,10G,Regular,lon1,full,"rs1.lon1, rs1.man1, rs2.man1, rs3.lon1"
"Nodemax Limited",http://www.nodemax.com,60198,"No data",195.66.227.197,2001:7f8:4::eb26:1,4c5e.0c13.c456,"Telehouse North (THN)","core3-thn et-3/1/1 VLAN: 2127",ConneXions,1G,ConneXions,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Nodemax Limited",http://www.nodemax.com,60198,"No data",195.66.239.34,2001:7f8:4:1::eb26:1,4c5e.0c13.c43b,"Telehouse East (THE)","edge2-the-lon2 xe7 VLAN: 2128",ConneXions,1G,ConneXions,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Nomical Limited",http://nomical.com,205892,"No data",195.66.227.177,2001:7f8:4::3:2444:1,ec7c.5c1c.3fe6,"Equinix LD8 Harbour Exchange (TCH)","edge1-tch xe-7/2/6",10G,10G,multiservice_port,lon1,full,"rs1.lon1, rs1.man1, rs2.man1, rs3.lon1"
"Nomical Limited",http://nomical.com,205892,"No data",195.66.244.95,2001:7f8:4:2:0:3:2444:1,ec7c.5c1c.4fe6,"Equinix MA3 Joule House (TCJ)","edge2-tcj-man1 xe14",10G,10G,multiservice_port,man1,full,"rs1.lon1, rs1.man1, rs2.man1, rs3.lon1"
"Nominet UK",http://www.nominet.org.uk/,8683,"No data",195.66.236.61,2001:7f8:4:1::21eb:1,541e.5632.4274,"Equinix LD9 Powergate (TCA)","edge1-tca-lon2 xe3",10G,10G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Nominet UK",http://www.nominet.org.uk/,43519,"No data",195.66.244.67,2001:7f8:4:2::a9ff:1,8c60.4f3b.a5c1,"Equinix MA1 Williams House (TCW)","edge7-tcw-man1 xe14",1G,1G,Regular,man1,full,"rs1.man1, rs1.nva1, rs2.man1"
"Nominet UK",http://www.nominet.org.uk/,8683,"No data",195.66.224.61,2001:7f8:4::21eb:1,ac4b.c895.b674,"Equinix LD6 (EQ4)","edge5-eq4 xe-5/1/3",10G,10G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Nominet UK",http://www.nominet.org.uk/,43519,"No data",206.55.196.18,2001:504:31::a9ff:1,0c86.1060.dbe4,"Digital Realty IAD (44521 Hastings) ACC5 (DFT)","edge1-dft.nva1 ge-0/3/1",1G,1G,Regular,nva1,full,"rs1.man1, rs1.nva1, rs2.man1"
"Noraina Ltd",http://,48305,"No data",195.66.226.247,2001:7f8:4::bcb1:1,0016.b259.2d4f,"Equinix LD6 (EQ4)","edge5-eq4 ge-4/3/1",1G,1G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"NORDUnet A/S",http://www.nordu.net,2603,"No data",195.66.225.24,2001:7f8:4::a2b:1,b0a8.6efa.9fc2,"Equinix LD8 Harbour Exchange (TCH)","edge1-tch xe-7/0/3",10G,10G,Regular,lon1,full,
"NORDUnet A/S",http://www.nordu.net,2603,"No data",195.66.225.24,2001:7f8:4::a2b:1,b0a8.6efa.9fc2,"Equinix LD8 Harbour Exchange (TCH)","edge1-tch xe-7/1/1",10G,10G,Regular,lon1,full,
"Nova hf",http://www.nova.is,44735,"No data",195.66.237.28,2001:7f8:4:1::aebf:1,001a.f013.0000,"Telehouse North (THN)","edge3-thn-lon2 xe13",1G,1G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Nova hf",http://www.nova.is,44735,"No data",195.66.225.28,2001:7f8:4::aebf:1,001a.f013.0000,"Telehouse North (THN)","edge1-thn xe-4/0/0",10G,10G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"NSFOCUS Inc.",http://www.nsfocusglobal.com,8757,"No data",195.66.225.49,2001:7f8:4::2235:1,001c.73d6.16c7,"Equinix LD8 Harbour Exchange (TCH)","core4-tch et-2/1/3",100G,100G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
NSONE,https://ns1.com,62597,"No data",206.55.196.37,2001:504:31::f485:1,8890.0982.bc63,"CoreSite Reston (COR)","edge1-cor.nva1 xe-0/1/1",10G,10G,Regular,nva1,full,
NSONE,https://ns1.com,62597,"No data",195.66.225.39,2001:7f8:4::f485:1,8890.0986.f47f,"Equinix LD6 (EQ4)","edge5-eq4 xe-8/2/0",10G,10G,Regular,lon1,full,
"NTA Ltd",http://nta.co.uk,41379,"No data",195.66.227.32,2001:7f8:4::a1a3:1,c89c.1d4d.6610,"Telehouse North (THN)","edge4-thn ge-7/2/0",1G,1G,Regular,lon1,full,"rs1.lon1, rs3.lon1, rs4.lon2"
"NTA Ltd",http://nta.co.uk,41379,"No data",195.66.239.32,2001:7f8:4:1::a1a3:1,c89c.1d4d.6611,"Telehouse North (THN)","edge4-thn-lon2 xe42",1G,1G,Regular,lon2,full,"rs1.lon1, rs3.lon1, rs4.lon2"
"NTE Telekom AS",http://www.nte.no,34087,"No data",195.66.226.201,2001:7f8:4::8527:1,a0b4.39b3.3e9b,"Equinix LD8 Harbour Exchange (TCH)","edge1-tch xe-7/2/0",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"NTE Telekom AS",http://www.nte.no,34087,"No data",195.66.226.201,2001:7f8:4::8527:1,a0b4.39b3.3e9b,"Equinix LD8 Harbour Exchange (TCH)","edge1-tch xe-3/0/0",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"NTT Docomo Inc",https://www.nttdocomo.co.jp/english/,9605,"No data",195.66.227.80,2001:7f8:4::2585:3,008a.966c.9c81,"Telehouse North2 (TH2)","edge1-th2 xe-1/2/2 VLAN: 2782",ConneXions,2G,ConneXions,lon1,full,"rs1.lon1, rs3.lon1"
"NTT Docomo Inc",https://www.nttdocomo.co.jp/english/,9605,"No data",195.66.227.37,2001:7f8:4::2585:1,008a.961f.a48e,"Telehouse North2 (TH2)","edge1-th2 xe-1/2/2 VLAN: 2780",ConneXions,6G,ConneXions,lon1,full,"rs1.lon1, rs3.lon1"
"NTT Docomo Inc",https://www.nttdocomo.co.jp/english/,9605,"No data",195.66.224.152,2001:7f8:4::2585:2,008a.966c.ac81,"Telehouse North2 (TH2)","edge1-th2 xe-1/2/2 VLAN: 2781",ConneXions,2G,ConneXions,lon1,full,"rs1.lon1, rs3.lon1"
"NTT Global Data Centers EMEA UK Ltd",http://www.gyron.net/,29017,"No data",195.66.236.141,2001:7f8:4:1::7159:1,e8a2.45c8.9a9b,"Telehouse North (THN)","edge1-thn-lon2 xe36",10G,10G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"NTT Global Data Centers EMEA UK Ltd",http://www.gyron.net/,29017,"No data",195.66.224.141,2001:7f8:4::7159:1,e8a2.45c8.929b,"Digital Realty Sovereign House (RBS)","edge2-rbs xe-7/1/3",10G,10G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"NTT United Kingdom Limited",http://www.gin.ntt.net/,2914,"No data",195.66.224.138,2001:7f8:4::b62:1,4c6d.5802.4ba0,"Telehouse West (THW)","core3-thw et-2/2/0",100G,100G,Regular,lon1,full,
"Nuco Technologies Ltd",http://www.host-it.co.uk,33854,"No data",195.66.226.22,2001:7f8:4::843e:1,00b0.8e94.a41b,"Equinix LD6 (EQ4)","edge5-eq4 ge-4/2/1",1G,1G,Regular,lon1,full,
"Nuco Technologies Ltd",http://www.host-it.co.uk,45014,"No data",195.66.237.55,2001:7f8:4:1::afd6:1,2899.3aa6.9347,"Equinix LD4 (EQ4)","edge1-eq4-lon2 xe26",10G,10G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Nuco Technologies Ltd",http://www.host-it.co.uk,45014,"No data",195.66.225.55,2001:7f8:4::afd6:1,7483.ef95.dbb4,"Telehouse North (THN)","edge2-thn xe-2/0/0",10G,10G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"NYnet Ltd",http://www.nynet.co.uk,41484,"No data",195.66.225.254,2001:7f8:4::a20c:1,d4eb.68cb.7090,"Telehouse North (THN)","edge2-thn xe-2/2/0",10G,10G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1"
"NYnet Ltd",http://www.nynet.co.uk,41484,"No data",195.66.236.104,2001:7f8:4:1::a20c:1,d4eb.68cb.7082,"Telehouse North (THN)","edge3-thn-lon2 xe15",1G,1G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1"
"O2 Broadband",http://www.bethere.co.uk,35228,"No data",195.66.227.153,2001:7f8:4::899c:2,7e25.86a8.a051,"Digital Realty Sovereign House (RBS)","edge1-rbs et-1/1/5",100G,100G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"O2 Broadband",http://www.bethere.co.uk,35228,"No data",195.66.239.153,2001:7f8:4:1::899c:2,7e25.86a7.dc31,"Digital Realty Sovereign House (RBS)","edge2-rbs-lon2 ce2/1",100G,100G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
